id,sku_custom,category_code,category_label,scene_code,supplier_spec_category,sellable
N710P246209K,XH-BA-HM-46209K,BA,Other,HM,Bathroom Vanities,true
N729P000001C,XH-BA-HM-00001C,BA,Other,HM,Bathroom Vanities,true
N729P321351N,XH-BA-HM-21351N,BA,Bathroom,HM,Bathroom Vanities,true
W3520S00050,XH-BA-HM-S00050,BA,Bathroom,HM,Bathroom Vanities,true
N729P184479K,XH-BK-HM-84479K,BK,Bookshelf,HM,Bathroom Vanities,true
W1321S00001,XH-BK-HM-S00001,BK,Bookshelf,HM,Desks & Work Surfaces,true
W3123P333708,XH-BK-HM-333708,BK,Bookshelf,HM,"Display, Shelving & Etageres",true
LP001501AAK-1,XH-CB-HM-01AAK1,CB,Bookshelf,HM,"Beds, Frames & Bases",true
N707S000019W,XH-CB-HM-00019W,CB,Other,HM,Kitchen Islands & Carts,true
N707S170349W,XH-CB-HM-70349W,CB,Table,HM,Kitchen Islands & Carts,true
N707S256507Z,XH-CB-LR-56507Z,CB,Sideboard,LR,"Servers, Sideboards & Buffets",true
N710P191970F,XH-CB-HM-91970F,CB,Other,HM,Bathroom Vanities,true
N710P195628K,XH-CB-HM-95628K,CB,Other,HM,Bathroom Vanities,true
N710P206904C,XH-CB-HM-06904C,CB,Cabinet,HM,Bathroom Vanities,true
N710P206904E,XH-CB-HM-06904E,CB,Cabinet,HM,Bathroom Vanities,true
N710P206904F,XH-CB-HM-06904F,CB,Cabinet,HM,Bathroom Vanities,true
N710P206904K,XH-CB-HM-06904K,CB,Cabinet,HM,Bathroom Vanities,true
N710P206904M,XH-CB-HM-06904M,CB,Cabinet,HM,Bathroom Vanities,true
N710P206904Z,XH-CB-HM-06904Z,CB,Cabinet,HM,Bathroom Vanities,true
N710P230231B,XH-CB-HM-30231B,CB,Cabinet,HM,Bathroom Vanities,true
N710P288936F,XH-CB-HM-88936F,CB,Cabinet,HM,Bathroom Vanities,true
N710P323328C,XH-CB-HM-23328C,CB,Cabinet,HM,Bathroom Vanities,true
N710P323328K,XH-CB-HM-23328K,CB,Cabinet,HM,Bathroom Vanities,true
N710P401339K,XH-CB-HM-01339K,CB,Bookshelf,HM,Bathroom Storage,true
N710P411251P,XH-CB-HM-11251P,CB,Bathroom,HM,Bathroom Vanities,true
N710P426321P,XH-CB-HM-26321P,CB,Bathroom,HM,Bathroom Vanities,true
N710P439554K,XH-CB-HM-39554K,CB,Bookshelf,HM,Bathroom Storage,true
N721P245716B,XH-CB-HM-45716B,CB,Storage,HM,Cabinets,true
N725P188461K,XH-CB-HM-88461K,CB,Storage,HM,Bathroom Storage,true
N728P458089W,XH-CB-LR-58089W,CB,Sideboard,LR,"Servers, Sideboards & Buffets",true
N728P458234Z,XH-CB-LR-58234Z,CB,Sideboard,LR,"Servers, Sideboards & Buffets",true
N735P388120K,XH-CB-LR-88120K,CB,Table,LR,Tables,true
N765P387198D,XH-CB-HM-87198D,CB,Bathroom,HM,Bathroom Vanities,true
N767P417396W,XH-CB-HM-17396W,CB,Bookshelf,HM,Kitchen Islands & Carts,true
N779P296236N,XH-CB-HM-96236N,CB,Bookshelf,HM,TV & Entertainment Furniture,true
N893S000010B,XH-CB-LR-00010B,CB,Table,LR,Tables,true
SP000257AAD,XH-CB-HM-257AAD,CB,Bookshelf,HM,Dining and Kitchen Sets,true
W1120P330147,XH-CB-LR-330147,CB,TV Stand,LR,Cabinets,true
W1162P309021,XH-CB-LR-309021,CB,TV Stand,LR,Cabinets,true
W1162P339085,XH-CB-LR-339085,CB,Sideboard,LR,Cabinets,true
W1162P356393,XH-CB-LR-356393,CB,TV Stand,LR,Cabinets,true
W1162P388448,XH-CB-LR-388448,CB,TV Stand,LR,TV & Entertainment Furniture,true
