supplier_product_id,dropship_giga_product_id
W3204P484603,1420191
B061P360299,1131927
B062P145423,667968
B062P145504,668051
B062P353274,1116215
B062P374095,1162709
B062P375390,1165365
B062P378388,1170359
B062P519761,1501730
B070P505502,1467705
B070P505509,1467713
B082P517269,1496051
B107P283306,959652
B200P474234,1387111
B2726P408073,1234576
B2741P405636,1228431
B2741P408065,1234567
B2741P411516,1242993
B2741P430423,1291208
B2749P413332,1247448
B2756P506266,1468949
B2756P507054,1471329
B2761P499208,1453340
B2761P499209,1453341
B2761P499218,1453350
B2761P502681,1461278
B2770P494900,1444024
B372P407630,1233286
K1561S00002,842065
LP001501AAK-1,1429337
LP006601AAK-1,1493710
N701P465364C,1474242
N707S000019W,1262102
N707S170349W,1381594
N707S221446B,1493674
N707S256507Z,1390977
N707S356567W,1391365
N707S356569W,1423515
N7090001842K,1032079
N710P174917Q,877144
N710P191970F,889440
N710P193724P,1103735
N710P206904C,967880
N710P206904E,959776
N710P206904F,1038874
N710P206904K,925680
N710P206904M,938674
N710P206904Z,975439
N710P230231B,937454
N710P246209K,941717
N710P288936F,1063935
N710P323328C,1149844
N710P323328K,1149838
N710P401339K,1482881
N710P401530P,1352537
N710P411251P,1439748
N710P426321P,1443972
N710P429516Q,1440690
N710P439554K,1470408
N711P345213K,1238362
N711P410389O,1408467
N715P192557K,891893
N715P288632M,1086110
N715P310053D,1153264
N715P364059N,1204041
N715P458125N,1470175
N715P462622N,1471126
N717P379754N,1250553
N719S002050B,1102276
N721P401788K,1345689
N723S7037E,1480056
N724P185778P,808448
N724P292070K,1068960
N725P188460K,835949
N725P188461K,836628
N725S412541K,1315793
N728P458089W,1485881
N728P458234Z,1485735
N729P000001C,987553
N729P000001F,966845
N729P184479K,1020442
N729P289163C,1026243
N729P289163F,1026214
N729P289163K,1026247
N729P321351N,1115055
N729P321376K,1107754
N733P307938B,1120646
N733P307938W,1120648
N735P328521D,1163741
N735P388120K,1393116
N752S000012D,1124801
N759P307032D,1080588
N759P324549K,1136586
N760P328544D,1136490
N761P285712N,1073201
N765P387198D,1365598
N765P38884950E,1365738
N767P263923W,1005903
N767P417396W,1480586
N770P283032N_N770P283033N,1041770
N779P296236N,1135530
N893S000010B,1237502
SG000640AAL,476531
SJ000166AAK,1485711
SP000075AAE,936147
SP000075AAK,936149
SP000257AAD,1487851
ST000144AAP,1115643
T2398P507513,1472421
T2398P507519,1472427
T2574P516494,1494016
T2574P516495,1494021
T3609P482837,1415725
